id;subscript_code;subscript_date;customer_id;customer_name;unit_buy_price_ind;unit_buy_price;unit_buy_unit;unit_buy_lot;unit_buy_basket;market;buy_gross_amount;fee;buy_net_amount;status_cash;status_etf;status;channel
1;International;2019-09-19;Berkshire solid stat;middleware Switzerland;69764;94952;79647;14707;45934;indexing compress Practical Steel Chips;62080;49261;34741;orchid;Future-proofed Awesome;Creek;58476
2;enable;2019-09-19;Mouse Rupiah;Human Mission;66755;97311;17231;60193;19228;Licensed Wooden Pants;27859;34761;17701;Awesome;Kiribati;cyan innovative;50341
3;Lempira;2019-09-20;online;Bulgarian Lev Cambridgeshire;15697;92087;37728;6107;259;SAS;8451;74825;59727;Manager;cultivate Bedfordshire;navigate Kiribati;72051
4;Small Wooden Ball Me;2019-09-19;generate Music;Inlet Hungary Configurable;26924;73740;37728;18228;2007;software blue;32749;53533;11976;National;Ranch impactful;Berkshire Awesome;53710
5;Nevada quantify arch;2019-09-20;encompassing customi;Home Loan Account Grass-roots;49824;98651;33034;60577;93369;Music;22533;15285;36535;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;99725
6;Regional;2019-09-19;Human Jewelery Engin;Fish Tanzanian Shilling;92937;71845;55676;53503;57161;stable override;18704;96799;32367;channels Buckinghamshire Open-source;pixel;asymmetric Montana Sausages;48114
7;Montenegro;2019-09-20;bleeding-edge Rubber;Yemen;20173;32235;68457;80987;8786;Metal;271;76022;11669;Mall Investment Account;scalable Configuration calculating;infrastructures Mobility Representative;20500
8;streamline;2019-09-19;hard drive Refined S;indigo Bacon Mouse;81457;23569;66519;63375;52306;granular HDD whiteboard;81659;45194;43913;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;90647
9;Home Loan Account;2019-09-20;Tactics Credit Card ;Belize Dollar Bacon;87862;62007;49542;53346;74146;South Carolina Liaison copy;70698;24848;77857;Steel salmon application;USB scalable;Bosnia and Herzegovina generate Creek;60395
10;Buckinghamshire Came;2019-09-19;models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);54272;71617;25179;59902;34569;Chips National Idaho;40085;42359;46200;Communications;Customer;Avon;61145
